"Airline","Date_of_Journey","Source","Destination","Dep_Time","Duration","Total_Stops","Price"
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",785,"1 stop",26890
"SpiceJet","2019-01-03","Banglore","New Delhi","15:35:00",485,"1 stop",7744
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",740,"1 stop",27992
"Air India","2019-01-03","Banglore","New Delhi","08:50:00",2345,"2 stops",17135
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",1425,"1 stop",25735
"Air India","2019-01-03","Banglore","New Delhi","10:30:00",655,"2 stops",11213
"Air India","2019-01-03","Banglore","New Delhi","10:30:00",435,"2 stops",17461
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",1825,"3 stops",12346
"Jet Airways","2019-01-03","Banglore","New Delhi","08:00:00",1420,"1 stop",22270
"IndiGo","2019-01-03","Chennai","Kolkata","07:55:00",140,"non-stop",8580
"Air India","2019-01-03","Delhi","Cochin","09:45:00",1350,"1 stop",22798
"IndiGo","2019-01-03","Chennai","Kolkata","13:20:00",135,"non-stop",7295
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",980,"2 stops",13366
"IndiGo","2019-01-03","Kolkata","Banglore","15:10:00",155,"non-stop",6565
"IndiGo","2019-01-03","Mumbai","Hyderabad","16:55:00",90,"non-stop",8853
"SpiceJet","2019-01-03","Kolkata","Banglore","22:20:00",140,"non-stop",5515
"Air India","2019-01-03","Banglore","New Delhi","11:50:00",1265,"1 stop",14594
"IndiGo","2019-01-03","Chennai","Kolkata","11:35:00",145,"non-stop",7900
"Air India","2019-01-03","Delhi","Cochin","04:00:00",1660,"1 stop",28322
"Air India","2019-01-03","Banglore","New Delhi","10:30:00",745,"1 stop",11003
"Jet Airways","2019-01-03","Banglore","New Delhi","16:55:00",885,"1 stop",26890
"Air Asia","2019-01-03","Banglore","New Delhi","05:50:00",170,"non-stop",10715
"Air India","2019-01-03","Banglore","New Delhi","17:00:00",165,"non-stop",25913
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",405,"1 stop",26890
"Air India","2019-01-03","Banglore","New Delhi","00:30:00",1405,"1 stop",12599
"Air India","2019-01-03","Banglore","New Delhi","05:50:00",1770,"4 stops",17686
"Air India","2019-01-03","Mumbai","Hyderabad","13:55:00",90,"non-stop",10082
"Vistara","2019-01-03","Banglore","New Delhi","06:40:00",915,"1 stop",18387
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",1365,"1 stop",25735
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",375,"1 stop",26890
"IndiGo","2019-01-03","Banglore","New Delhi","19:35:00",300,"1 stop",22153
"Jet Airways","2019-01-03","Banglore","New Delhi","16:55:00",1050,"1 stop",25735
"Air India","2019-01-03","Banglore","New Delhi","06:45:00",330,"1 stop",23677
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",1090,"1 stop",22270
"Jet Airways","2019-01-03","Banglore","New Delhi","14:05:00",1220,"1 stop",20800
"Jet Airways","2019-01-03","Banglore","New Delhi","11:40:00",1310,"1 stop",25735
"Jet Airways","2019-01-03","Banglore","New Delhi","07:00:00",550,"1 stop",26890
"GoAir","2019-01-03","Banglore","New Delhi","07:45:00",175,"non-stop",13663
"SpiceJet","2019-01-03","Kolkata","Banglore","17:15:00",150,"non-stop",5515
